1, 4.66864
3601.64, 112.845
3602.64, 130.929
3603.64, 120.318
3604.64, 116.853
3605.64, 120.739
3606.64, 116.051
3607.64, 122.826
3608.64, 114.49
3609.64, 120.002
3610.64, 122.211
3611.64, 114.649
3612.64, 111.713
3613.64, 127.619
3614.64, 119.225
3615.64, 118.683
3616.64, 114.284
3617.64, 117.671
3618.64, 120.286
3619.64, 115.541
3620.64, 128.381
3621.64, 120.663
3622.64, 115.396
3623.64, 113.161
3624.64, 121.667
3625.64, 112.101
3626.64, 123.59
3627.64, 119.028
3628.64, 115.568
3629.64, 113.792
3630.64, 117.696
3631.64, 127.785
3632.64, 111.687
3633.64, 113.548
3634.64, 112.897
3635.64, 118.51
3636.64, 115.81
3637.64, 119.513
3638.64, 127.944
3639.64, 131.658
3640.64, 118.775
3641.64, 118.527
3642.64, 114.007
3643.64, 116.396
3644.64, 113.784
3645.64, 126.651
3646.64, 123.471
3647.64, 118.913
3648.64, 115.62
3649.64, 116.111
3650.64, 111.813
3651.64, 118.5
3652.64, 118.369
3653.64, 114.856
3654.64, 114.444
3655.64, 112.556
3656.64, 128.76
3657.64, 122.416
3658.64, 123.026
3659.64, 118.767
3660.64, 120.19
3661.64, 126.416
3662.64, 0.351024
