180, 0
360, 34.1139
540, 8.15575
720, 0
900, 0
1080, 68.1244
1260, 6.50779
1440, 54.4205
1620, 52.7268
1800, 140.603
1980, 124.734
2160, 9.76009
2340, 34.265
2520, 103.35
2700, 8.89786
2880, 7.61011
3060, 50.4228
3240, 8.62108
3420, 3.42434
3600, 77.022
3780, 3.3031
3960, 99.8751
4140, 23.4933
4320, 114.442
4500, 101.613
4680, 12.4674
4860, 52.7345
5040, 2.31965
5220, 148.562
5400, 0
5580, 13.8612
5760, 0
5940, 0
6120, 42.4846
6300, 0
6480, 1.70888
6660, 174.208
6840, 90.1968
7020, 219.481
7200, 6.18855
7380, 66.6288
7560, 0
7740, 19.1362
7920, 0
8100, 73.2637
8280, 39.7263
8460, 33.2602
8640, 16.681
8820, 0.923088
9000, 37.4674
9180, 0
9360, 45.0102
9540, 0
9720, 122.198
9900, 19.0407
