180, 0
360, 0
540, 21.4451
720, 41.9596
900, 7.79973
1080, 69.9231
1260, 47.6298
1440, 0
1620, 0
1800, 76.6078
1980, 0
2160, 32.325
2340, 0
2520, 25.2698
2700, 20.3156
2880, 71.7743
3060, 31.8702
3240, 9.76863
3420, 26.1661
3600, 5.29681
3780, 1.80404
3960, 24.6953
4140, 0
4320, 62.5019
4500, 6.80052
4680, 0.0122053
4860, 37.4151
5040, 48.5231
5220, 95.1684
5400, 115.143
5580, 0
5760, 51.5105
5940, 21.2473
6120, 7.08805
6300, 11.8428
6480, 31.2389
6660, 11.805
6840, 0
7020, 38.156
7200, 40.7175
7380, 0
7560, 34.2122
7740, 26.3803
7920, 11.4248
8100, 71.1187
8280, 0
8460, 27.3432
8640, 0
8820, 78.1969
9000, 14.6752
9180, 34.0803
9360, 75.0317
9540, 7.85615
9720, 66.1458
9900, 0
